MovieId;TitleMovieLens;TitleIMDB;Date
1;ToyStory;Toy Story;1995
2;Jumanji;Jumanji;1995
3;GrumpierOldMen;Grumpier Old Men;1995
4;WaitingtoExhale;Waitingto Exhale;1995
5;FatheroftheBridePartII;Fatherofthe Bride Part I I;1995
6;Heat;Heat;1995
7;Sabrina;Sabrina;1995
8;TomandHuck;Tomand Huck;1995
9;SuddenDeath;Sudden Death;1995
10;GoldenEye;Golden Eye;1995
11;AmericanPresidentThe;American President The;1995
12;DraculaDeadandLovingIt;Dracula Deadand Loving It;1995
13;Balto;Balto;1995
14;Nixon;Nixon;1995
15;CutthroatIsland;Cutthroat Island;1995
16;Casino;Casino;1995
17;SenseandSensibility;Senseand Sensibility;1995
18;FourRooms;Four Rooms;1995
19;AceVenturaWhenNatureCalls;Ace Ventura When Nature Calls;1995
20;MoneyTrain;Money Train;1995
21;GetShorty;Get Shorty;1995
22;Copycat;Copycat;1995
23;Assassins;Assassins;1995
24;Powder;Powder;1995
25;LeavingLasVegas;Leaving Las Vegas;1995
26;Othello;Othello;1995
27;NowandThen;Nowand Then;1995
28;Persuasion;Persuasion;1995
29;CityofLostChildrenThe;Citdesenfantsperdus La;1995
30;ShanghaiTriadYaoayaoyaodaowaipoqiao;Yaoayaoyaodaowaipoqiao;1995
31;DangerousMinds;Dangerous Minds;1995
32;TwelveMonkeys;Twelve Monkeys;1995
33;WingsofCourage;Wingsof Courage;1995
34;Babe;Babe;1995
35;Carrington;Carrington;1995
36;DeadManWalking;Dead Man Walking;1995
37;AcrosstheSeaofTime;Acrossthe Seaof Time;1995
38;ItTakesTwo;It Takes Two;1995
39;Clueless;Clueless;1995
40;CrytheBelovedCountry;Crythe Beloved Country;1995
41;RichardIII;Richard I I I;1995
42;DeadPresidents;Dead Presidents;1995
43;Restoration;Restoration;1995
44;MortalKombat;Mortal Kombat;1995
45;ToDieFor;To Die For;1995
46;HowtoMakeanAmericanQuilt;Howto Makean American Quilt;1995
47;SevenSeen;Seen;1995
48;Pocahontas;Pocahontas;1995
49;WhenNightIsFalling;When Night Is Falling;1995
50;UsualSuspectsThe;Usual Suspects The;1995
51;GuardianAngel;Guardian Angel;1994
52;MightyAphrodite;Mighty Aphrodite;1995
53;Lamerica;Lamerica;1994
54;BigGreenThe;Big Green The;1995
55;Georgia;Georgia;1995
56;KidsoftheRoundTable;Kidsofthe Round Table;1995
57;HomefortheHolidays;Homeforthe Holidays;1995
58;PostinoIlThePostman;Postino Il;1994
59;ConfessionalTheLeConfessionnal;Confessional The;2006
60;IndianintheCupboardThe;Indianinthe Cupboard The;1995
61;EyeforanEye;Eyeforan Eye;1996
62;MrHollandsOpus;Mr Hollands Opus;1995
63;DontBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood;Dont Bea Menaceto South Central While Drinking Your Juiceinthe Hood;1996
64;TwoifbySea;Two Ifby Sea;1996
65;BioDome;Bio Dome;1996
66;LawnmowerManBeyondCyberspace;Lawnmower Man Beyond Cyberspace;1996
67;TwoBits;Two Bits;1995
68;FrenchTwistGazonmaudit;Gazonmaudit;1995
69;Friday;Friday;1995
70;FromDuskTillDawn;From Dusk Till Dawn;1996
71;FairGame;Fair Game;1995
72;KickingandScreaming;Kickingand Screaming;1995
73;MisrablesLes;Misrables Les;1995
74;BedofRoses;Bedof Roses;1996
75;BigBully;Big Bully;1996
76;Screamers;Screamers;1995
77;NicoIcon;Nico Icon;1995
78;CrossingGuardThe;Crossing Guard The;1995
79;JurorThe;Juror The;1996
80;WhiteBalloonTheBadkonakeSefid;Badkonakesefid;1995
81;ThingstoDoinDenverwhenYoureDead;Thingsto Doin Denver When Youre Dead;1995
82;AntoniasLineAntonia;Antonia;1995
83;OnceUponaTimeWhenWeWereColored;Once Upona Time When We Were Colored;1995
84;LastSummerintheHamptons;Last Summerinthe Hamptons;1995
85;AngelsandInsects;Angelsand Insects;1995
86;WhiteSquall;White Squall;1996
87;DunstonChecksIn;Dunston Checks In;1996
88;BlackSheep;Black Sheep;1996
89;NickofTime;Nickof Time;1995
90;JourneyofAugustKingThe;Journeyof August King The;1995
92;MaryReilly;Mary Reilly;1996
93;VampireinBrooklyn;Vampirein Brooklyn;1995
94;BeautifulGirls;Beautiful Girls;1996
95;BrokenArrow;Broken Arrow;1996
96;IntheBleakMidwinter;Inthe Bleak Midwinter;1995
97;HateHaineLa;Haine La;1995
98;Shopping;Shopping;1994
99;HeidiFleissHollywoodMadam;Heidi Fleiss Hollywood Madam T V;1995
100;CityHall;City Hall;1996
101;BottleRocket;Bottle Rocket;1996
102;MrWrong;Mr Wrong;1996
103;Unforgettable;Unforgettable;1996
104;HappyGilmore;Happy Gilmore;1996
105;BridgesofMadisonCountyThe;Bridgesof Madison County The;1995
106;NobodyLovesMeKeinerliebtmich;Keinerliebtmich;1994
107;MuppetTreasureIsland;Muppet Treasure Island;1996
108;Catwalk;Catwalk;1996
109;HeadlessBodyinToplessBar;Headless Bodyin Topless Bar;1995
110;Braveheart;Braveheart;1995
111;TaxiDriver;Taxi Driver;1976
112;RumbleintheBronx;Hongfaankui;1995
113;BeforeandAfter;Beforeand After;1996
114;MargaretsMuseum;Margarets Museum;1995
115;HappinessIsintheField;Bonheurestdanslepr Le;1995
116;AnneFrankRemembered;Anne Frank Remembered T V;1995
117;YoungPoisonersHandbookThe;Young Poisoners Handbook The;1995
118;IfLucyFell;If Lucy Fell;1996
119;StealBigStealLittle;Steal Big Steal Little;1995
120;RacetheSun;Racethe Sun;1996
121;BoysofStVincentThe;Boysof St Vincent The T V;1992
122;Boomerang;Boomerang;1992
123;ChungkingExpress;Chunghingsamlam;1994
124;StarMakerTheUomodellestelleL;Uomodellestelle L;1995
125;FlirtingWithDisaster;Flirtingwith Disaster;1996
126;NeverEndingStoryIIIThe;Never Ending Story I I I The;1994
127;SilenceofthePalaceTheSaimtelQusur;Samtelqusur;1994
128;JupitersWife;Jupiters Wife;1995
129;PieintheSky;Pieinthe Sky;1996
130;Angela;Angela;1995
131;FrankieStarlight;Frankie Starlight;1995
132;Jade;Jade;1995
133;NuebaYol;Nueba Yol;1995
134;SonicOutlaws;Sonic Outlaws;1995
135;DownPeriscope;Down Periscope;1996
136;FromtheJournalsofJeanSeberg;Fromthe Journalsof Jean Seberg;1995
137;ManoftheYear;Manofthe Year;1995
138;NeonBibleThe;Neon Bible The;1995
139;Target;Target;1995
140;UpCloseandPersonal;Up Closeand Personal V;1996
141;BirdcageThe;Birdcage The;1996
142;ShadowsCienie;Cienie;1988
143;Gospa;Gospa;1995
144;BrothersMcMullenThe;Brothers Mc Mullen The;1995
145;BadBoys;Bad Boys;1995
146;AmazingPandaAdventureThe;Amazing Panda Adventure The;1995
147;BasketballDiariesThe;Basketball Diaries The;1995
148;AwfullyBigAdventureAn;Awfully Big Adventure An;1995
149;Amateur;Amateur;1994
150;Apollo;Apollo;1995
151;RobRoy;Rob Roy;1995
152;AddictionThe;Addiction The;1995
153;BatmanForever;Batman Forever;1995
154;Belledejour;Belledejour;1967
155;BeyondRangoon;Beyond Rangoon;1995
156;BlueintheFace;Blueinthe Face;1995
157;CanadianBacon;Canadian Bacon;1995
158;Casper;Casper;1995
159;Clockers;Clockers;1995
160;Congo;Congo;1995
161;CrimsonTide;Crimson Tide;1995
162;Crumb;Crumb;1994
163;Desperado;Desperado;1995
164;DevilinaBlueDress;Devilina Blue Dress;1995
165;DieHardWithaVengeance;Die Hard Witha Vengeance;1995
166;DoomGenerationThe;Doom Generation The;1995
167;FeastofJuly;Feastof July;1995
168;FirstKnight;First Knight;1995
169;FreeWillyTheAdventureHome;Free Willy The Adventure Home;1995
170;Hackers;Hackers;1995
171;Jeffrey;Jeffrey;1995
172;JohnnyMnemonic;Johnny Mnemonic;1995
173;JudgeDredd;Judge Dredd;1995
174;JuryDuty;Jury Duty;1995
175;Kids;Kids;1995
176;LivinginOblivion;Livingin Oblivion;1995
177;LordofIllusions;Lordof Illusions;1995
178;LoveHumanRemains;Love Human Remains;1993
179;MadLove;Mad Love;1995
180;Mallrats;Mallrats;1995
181;MightyMorphinPowerRangersTheMovie;Mighty Morphin Power Rangers The Movie;1995
182;MoonlightandValentino;Moonlightand Valentino;1995
183;MuteWitness;Mute Witness;1994
184;Nadja;Nadja;1994
185;NetThe;Net The;1995
186;NineMonths;Nine Months;1995
187;PartyGirl;Party Girl;1995
188;ProphecyThe;Prophecy The;1995
189;Reckless;Reckless;1995
190;Safe;Safe;1995
191;ScarletLetterThe;Scarlet Letter The;1995
192;ShowThe;Show The;1995
193;Showgirls;Showgirls;1995
194;Smoke;Smoke;1995
195;SomethingtoTalkAbout;Somethingto Talk About;1995
196;Species;Species;1995
197;StarsFellonHenriettaThe;Stars Fellon Henrietta The;1995
198;StrangeDays;Strange Days;1995
199;UmbrellasofCherbourgTheParapluiesdeCherbourgLes;Parapluiesde Cherbourg Les;1964
200;TieThatBindsThe;Tie That Binds The;1995
201;ThreeWishes;Three Wishes;1995
202;TotalEclipse;Total Eclipse;1995
203;ToWongFooThanksforEverythingJulieNewmar;To Wong Foo Thanksfor Everything Julie Newmar;1995
204;UnderSiegeDarkTerritory;Under Siege Dark Territory;1995
205;UnstrungHeroes;Unstrung Heroes;1995
206;Unzipped;Unzipped;1995
207;WalkintheCloudsA;Walkinthe Clouds A;1995
